NAME,ADDRESS,ZIPCODE,CITY,PHONE
ATHENEE ROYAL VIELSALM - MANHAY,"Les Grands Champs , 18A",6690,VIELSALM,080-292670
ATHENEE ROYAL ARLON,"Rue de Sesselich , 83",6700,ARLON,063-245020
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE ETIENNE LENOIR,"Chemin de Weyler , 2",6700,ARLON,063-230220
Ecole secondaire ENOVA,"Voie de la Liberté , 107",6717,ATTERT,
ATHENEE ROYAL NESTOR OUTER,"Faubourg d'Arival , 48",6760,VIRTON,063-577330
ATHENEE ROYAL ATHUS,"Rue Neuve , 32",6791,ATHUS,063-380270
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE CENTRE ARDENNE,"Avenue Herbofin , 39",6800,LIBRAMONT,061-230500
ATHENEE ROYAL GERMAIN ET GILBERT GILSON,"Rue de l'Institut , 47",6810,IZEL,061-312455
ATHENEE ROYAL DE BOUILLON - PALISEUL,"Rue du Collège , 35",6830,BOUILLON,061-467292
ATHENEE ROYAL DE NEUFCHATEAU - BERTRIX,"Avenue de la Victoire , 28",6840,NEUFCHATEAU,061-277202
ATHENEE ROYAL MARCHE-BOMAL,"Avenue de la Toison d'Or , 71",6900,MARCHE-EN-FAMENNE,084-320460
ATHENEE ROYAL DE LA ROCHE-EN-ARDENNE,"Rue des Evêts , 4",6980,LA ROCHE-EN-ARDENNE,084-411262
ACADEMIE PROVINCIALE DES METIERS,"Bld Président Kennedy , 10",7000,MONS,065-398979
ATHENEE PROVINCIAL JEAN D'AVESNES,"Avenue du Gouverneur E. Cornez, 1",7000,MONS,065-400101
ATHENEE ROYAL MARGUERITE BERVOETS,"Avenue Victor Maistriau , 11",7000,MONS,065-408070
ATHENEE ROYAL MONS I,"Rue de l'Athénée , 4",7000,MONS,065-404070
ECOLE DU FUTUR,"Rue des Etampes , 2",7000,MONS,065-399340
INSTITUT D'ENSEIGNEMENT SECONDAIRE PARAMEDICAL PROVINCIAL,"Bld Président Kennedy , 2A",7000,MONS,065-328900
ECOLE DU SHAPE SECTION BELGE,"Avenue de Paris , 705",7010,SHAPE,065-445708
ATHENEE ROYAL JULES BORDET,"Boulevard Roosevelt , 27",7060,SOIGNIES,067-334444
LYCEE PROVINCIAL DES SCIENCES ET DES TECHNOLOGIES,"Rue de la Station , 59",7060,SOIGNIES,067-347970
ATHENEE PROVINCIAL,"Boulevard du Tivoli , 2B",7100,LA LOUVIERE,064-226549
ATHENEE ROYAL LA LOUVIERE,"Rue de Bouvy , 15",7100,LA LOUVIERE,064-222667
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE LEON HUREZ,"Rue de Bonne Espérance , 1",7100,LA LOUVIERE,064-213411
INSTITUT PROVINCIAL DE NURSING DU CENTRE,"Rue Ernest Milcamps , 13B",7100,LA LOUVIERE,064-263191
ATHENEE ROYAL DE BINCHE,"Place des Droits de l'Homme , 16",7130,BINCHE,064-311600
INSTITUT PROVINCIAL D'ENSEIGNEMENT CHARLES DELIEGE,"Rue des Archers , 12",7130,BINCHE,064-310220
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE DE MORLANWELZ,"Rue Raoul Warocqué , 46",7140,MORLANWELZ,064-432189
ATHENEE PROVINCIAL WAROCQUE,"Rue de l'Enseignement , 8-10",7140,MORLANWELZ-MARIEMONT,064-432030
ATHENEE ROYAL SAINT-GHISLAIN,"Avenue de l'Enseignement , 20",7330,SAINT-GHISLAIN,065-784052
LYCEE DE LA COMMUNAUTE FRANCAISE CHARLES PLISNIER,"Rue de Sas , 75",7330,SAINT-GHISLAIN,065-786718
LYCEE PROVINCIAL D'ENSEIGNEMENT TECHNIQUE DU HAINAUT,"Avenue de l'Enseignement , 45",7330,SAINT-GHISLAIN,065-714211
LYCEE PROVINCIAL HORNU COLFONTAINE,"Avenue Fénélon , 48",7340,PATURAGES,065-613390
ATHENEE ROYAL DOUR,"Rue de l'Athénée , 23",7370,DOUR,065-718787
ATHENEE ROYAL DE QUIEVRAIN,"Rue Debast , 26",7380,QUIEVRAIN,065-457081
